iter	MultiClass
0	1.08963469
1	1.081754329
2	1.074669091
3	1.068272121
4	1.062304395
5	1.057077381
6	1.052208054
7	1.047978028
8	1.044184969
9	1.040716005
10	1.037654642
11	1.034773988
12	1.032085633
13	1.029511952
14	1.027223905
15	1.025067259
16	1.023109455
17	1.021344987
18	1.019648771
19	1.01828169
20	1.016931905
21	1.015652203
22	1.014438688
23	1.01322863
24	1.012059239
25	1.011107666
26	1.010272484
27	1.009512422
28	1.00874225
29	1.007995714
30	1.007334512
31	1.006680777
32	1.006094466
33	1.005570124
34	1.005092509
35	1.004569766
36	1.004117954
37	1.003704989
38	1.003265897
39	1.002938427
40	1.00254509
41	1.002110237
42	1.001797287
43	1.001413576
44	1.001144933
45	1.000885549
46	1.000527402
47	1.000223495
48	0.9999816947
49	0.9997111836
50	0.9994688178
51	0.9992293438
52	0.9990084188
53	0.9988213392
54	0.998535795
55	0.998283588
56	0.9981291756
57	0.9979516951
58	0.9977943094
59	0.9975762348
60	0.9973864966
61	0.9972437392
62	0.9971088244
63	0.9969673963
64	0.996843622
65	0.9966982481
66	0.9965807552
67	0.9964460445
68	0.99631055
69	0.9962183907
70	0.9960740834
71	0.9959808468
72	0.9958287232
73	0.9957548923
74	0.9956629743
75	0.9955361242
76	0.995452139
77	0.9952806254
78	0.9951494508
79	0.9950598897
80	0.9949737946
81	0.9948905242
82	0.9947411601
83	0.994667288
84	0.9945762424
85	0.9945245757
86	0.9944597911
87	0.9943561404
88	0.994286388
89	0.9942172326
90	0.9941706854
91	0.994073675
92	0.9939660897
93	0.9937922463
94	0.9936670398
95	0.9935136882
96	0.9934332539
97	0.9933149364
98	0.9932528286
99	0.9930987156
100	0.993043274
101	0.9930062243
102	0.9929234306
103	0.9927746621
104	0.9927102744
105	0.9926148359
106	0.9925192246
107	0.9924274203
108	0.9922953629
109	0.9922283469
110	0.9921589615
111	0.9920524101
112	0.9919847278
113	0.9919215773
114	0.9918767283
115	0.9918187261
116	0.9917654632
117	0.9917261569
118	0.9916602759
119	0.9915813424
120	0.9915126024
121	0.9914544962
122	0.9913866795
123	0.9913207319
124	0.9912255607
125	0.9911544685
126	0.9910366679
127	0.9909755329
128	0.9909014253
129	0.9908424181
130	0.9907961808
131	0.9907506529
132	0.9906754829
133	0.9906322803
134	0.9905447676
135	0.9904918853
136	0.9904137289
137	0.9903686009
138	0.9903302954
139	0.9902619187
140	0.9902095815
141	0.9901520903
142	0.9900974565
143	0.9900460528
144	0.9899954892
145	0.9899441934
146	0.9898911043
147	0.9898494833
148	0.9897762005
149	0.9897044479
150	0.9896373347
151	0.9895746281
