iter	MultiClass
152	0.989520774
153	0.9894915713
154	0.98942817
155	0.9893940068
156	0.9893353879
157	0.989257659
158	0.9892210074
159	0.9891612657
160	0.989040055
161	0.9890181103
162	0.988951609
163	0.9888896371
164	0.9888308888
165	0.9887851858
166	0.9887500877
167	0.9886796383
168	0.9886302222
169	0.9885902326
170	0.9885370803
171	0.9884512455
172	0.9883952408
173	0.9883488628
174	0.9882974735
175	0.9882596706
176	0.9881992859
177	0.9881380481
178	0.988060904
179	0.9880292393
180	0.9879472189
181	0.9879052288
182	0.987841208
183	0.987790331
184	0.9877722089
185	0.9876933266
186	0.9876385976
187	0.9875961407
188	0.9875352612
189	0.9874983258
190	0.9874473473
191	0.9874035603
192	0.9873660768
193	0.9873194465
194	0.9872523255
195	0.987214706
196	0.9871886315
197	0.9871592491
198	0.9870770337
199	0.9870465651
200	0.9870057438
201	0.986962401
202	0.9869398767
203	0.9868839944
204	0.9868373313
205	0.9867869804
206	0.9867374537
207	0.9866860628
208	0.9866317241
209	0.9865677981
210	0.9865413722
211	0.986500701
212	0.9864064846
213	0.9863590341
214	0.9863228334
215	0.9862296553
216	0.9861669232
217	0.986073696
218	0.9860195969
219	0.9859797248
220	0.9859125109
221	0.9858686162
222	0.9858066568
223	0.9857422292
224	0.9857027063
225	0.9856421921
226	0.9856069674
227	0.9855317338
228	0.9854758929
229	0.9854147543
230	0.9853684202
231	0.9853041047
232	0.9852287032
233	0.9852075043
234	0.9851853983
235	0.9851361465
236	0.9850770207
237	0.9849884678
238	0.984935546
239	0.9848576563
240	0.9848159666
241	0.9847604952
242	0.9847069513
243	0.9846277085
244	0.9845390462
245	0.9844719367
246	0.9844059335
247	0.984361556
248	0.9842801879
249	0.9842039384
250	0.984173272
251	0.984107054
252	0.9840458639
253	0.9840229854
254	0.9839785071
255	0.9839216665
256	0.983881834
257	0.9838068561
258	0.9837520025
259	0.9837167552
260	0.9836693142
261	0.9836202272
262	0.9835271105
263	0.9834748453
264	0.9834178157
265	0.9833645967
266	0.9833280596
267	0.9832513799
268	0.9831866825
269	0.9831378603
270	0.9830808509
271	0.9830290829
272	0.9829746802
273	0.982955032
274	0.9829165215
275	0.9828778132
276	0.982834526
277	0.9827783591
278	0.9827182299
279	0.9826210192
280	0.9825686861
281	0.9825171573
282	0.982484262
283	0.9824330522
284	0.9823987641
285	0.9823102259
286	0.9822726742
287	0.9822165168
288	0.9821542308
289	0.9821061907
290	0.9820402963
291	0.9819718106
292	0.9819040248
293	0.9818740601
294	0.9818032081
295	0.9817766652
296	0.9817199276
297	0.9816900604
298	0.9816248915
299	0.9815966069
300	0.9815437082
301	0.9814826492
302	0.9814325244
303	0.9813747167
304	0.9812978284
305	0.9812243349
306	0.9811705983
307	0.9811449551
308	0.9811118795
309	0.9810731774
310	0.9810113042
311	0.9809444233
312	0.9808880227
313	0.9808350256
314	0.9807738276
315	0.9807183714
316	0.980672779
317	0.9805810596
318	0.9804994997
319	0.9804608589
320	0.9804273541
321	0.9803844601
322	0.9803120712
323	0.9802525012
324	0.9801948854
325	0.9801275201
326	0.9800729794
327	0.980017953
328	0.9799641435
329	0.9798989526
330	0.979849343
331	0.9797743284
332	0.9797507512
333	0.9796946892
334	0.9796239956
335	0.9795774741
336	0.9795559091
337	0.9795334921
338	0.9794930662
339	0.9794355848
340	0.9793908081
341	0.9793422821
342	0.9792913088
343	0.9792301929
344	0.9791727467
345	0.9790871561
346	0.9790409731
347	0.9789671302
348	0.9789096222
349	0.9788411208
350	0.9787974655
351	0.9787152092
